 Descriptor,Time,Date,Day of Week,Police Report,Lighting Conditions,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Traffic Control Device,Road Surface Conditions,Pedestrian Bicyclist Action,Event Descriptor,Number of Vehicles Involved 
 Damage & Injury Accident,15:56,08/12/2014,Tuesday,Y,Daylight,SKANEATELES,OTHER,ONONDAGA,Straight and Level,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,8:25,07/19/2014,Saturday,Y,Daylight,OYSTER BAY,LEFT TURN (3),NASSAU,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,20:46,08/14/2014,Thursday,Y,Dark-Road Lighted,KINGS,OTHER,KINGS,Straight and Level,Clear,Stop Sign,Dry,Unknown,"Bicyclist, Collision With",4
 Damage Accident,3:50,11/21/2014,Friday,Y,Dark-Road Unlighted,SAVANNAH,OTHER,WAYNE,Straight and Level,Cloudy,None,Dry,Not Applicable,"Light Support/Utility Pole, Collision With Fixed Object",1
 Damage Accident,11:05,11/11/2014,Tuesday,Y,Daylight,NORTH HEMPSTEAD,RIGHT ANGLE,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:00,03/03/2014,Monday,N,Daylight,INDIAN LAKE,OTHER,HAMILTON,Straight at Hill Crest,Clear,None,Dry,Not Applicable,"Other Object (Not Fixed)*, Collision With",1
 Damage Accident,0:29,04/05/2014,Saturday,Y,Dark-Road Unlighted,COVERT,OTHER,SENECA,Straight and Level,Cloudy,None,Wet,Not Applicable,Deer,1
 Damage & Injury Accident,10:49,06/25/2014,Wednesday,Y,Daylight,CHESTER,OTHER,WARREN,Curve and Grade,Rain,No Passing Zone,Wet,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
 Damage Accident,16:08,09/22/2014,Monday,Y,Daylight,EDEN,OTHER,ERIE,Straight and Grade,Clear,None,Dry,Not Applicable,"Animal, Collision With",1
 Damage & Injury Accident,21:43,07/25/2014,Friday,Y,Dark-Road Unlighted,EATON,RIGHT ANGLE,MADISON,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,7:14,07/29/2014,Tuesday,Y,Daylight,CLARKSTOWN,OTHER,ROCKLAND,Straight and Grade,Clear,Traffic Signal,Dry,Riding/Walking/Skating Along Highway With Traffic,"Bicyclist, Collision With",1
 Damage Accident,16:45,05/13/2014,Tuesday,Y,Daylight,ONONDAGA,RIGHT ANGLE,ONONDAGA,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,4:57,12/11/2014,Thursday,Y,Dark-Road Lighted,BOLTON,OTHER,WARREN,Straight and Level,Cloudy,None,Wet,Not Applicable,"Other Object (Not Fixed)*, Collision With",1
 Damage Accident,13:42,01/21/2014,Tuesday,Y,Daylight,HEMPSTEAD,REAR END,NASSAU,Straight and Level,Snow,Stop Sign,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,6:55,05/08/2014,Thursday,Y,Daylight,QUEENS,OTHER,QUEENS,Straight and Level,Rain,None,Wet,Not Applicable,"Median - Not At End, Collision With Fixed Object",1
 Damage & Injury Accident,0:00,03/10/2014,Monday,N,Daylight,BRONX,Unknown,BRONX,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:50,12/16/2014,Tuesday,Y,Daylight,CLIFTON PARK,REAR END,SARATOGA,Straight and Level,Cloudy,No Passing Zone,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:14,08/01/2014,Friday,Y,Daylight,JOHNSON CITY,OVERTAKING,BROOME,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,12:30,10/13/2014,Monday,Y,Daylight,HEMPSTEAD,REAR END,NASSAU,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:30,10/01/2014,Wednesday,Y,Daylight,EAST GREENBUSH,OTHER,RENSSELAER,Straight and Level,Rain,None,Wet,Not Applicable,"Other*, Non-Collision",1
 Accident,13:13,03/31/2014,Monday,Y,Daylight,ROCHESTER,OTHER,MONROE,Straight and Level,Clear,Traffic Signal,Dry,"Crossing, Against Signal","Bicyclist, Collision With",1
 Damage & Injury Accident,23:33,07/25/2014,Friday,Y,Dark-Road Lighted,SARATOGA SPRINGS,OTHER,SARATOGA,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,15:40,08/10/2014,Sunday,Y,Daylight,JACKSON,OTHER,WASHINGTON,Straight and Level,Clear,None,Dry,Not Applicable,Deer,1
 Damage Accident,0:00,03/09/2014,Sunday,N,Daylight,QUEENS,OVERTAKING,QUEENS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,6:09,11/07/2014,Friday,Y,Dawn,NEWBURGH,OVERTAKING,ORANGE,Straight and Level,Cloudy,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:37,02/06/2014,Thursday,Y,Daylight,HEMPSTEAD,RIGHT ANGLE,NASSAU,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,10:44,07/26/2014,Saturday,Y,Daylight,,RIGHT ANGLE,ROCKLAND,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,19:29,11/19/2014,Wednesday,Y,Daylight,JAMESTOWN,Unknown,CHAUTAUQUA,Straight and Grade,Snow,Unknown,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:00,06/13/2014,Friday,N,Daylight,OYSTER BAY,REAR END,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,23:58,12/20/2014,Saturday,Y,Dark-Road Lighted,BRONX,HEAD ON,BRONX,Straight and Level,Clear,Unknown,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,11:30,11/12/2014,Wednesday,Y,Daylight,DE RUYTER,OTHER,MADISON,Curve and Grade,Cloudy,None,Dry,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
 Damage & Injury Accident,11:55,04/10/2014,Thursday,Y,Daylight,HUNTINGTON,Unknown,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,17:10,08/18/2014,Monday,Y,Daylight,BRONX,OTHER,BRONX,Straight and Level,Clear,Stop Sign,Dry,Unknown,"Bicyclist, Collision With",1
 Damage Accident,15:30,11/13/2014,Thursday,Y,Daylight,CONCORD,OTHER,ERIE,Curve and Grade,Snow,None,Snow/Ice,Not Applicable,"Sign Post, Collision With Fixed Object",1
 Damage & Injury Accident,15:15,01/16/2014,Thursday,Y,Daylight,NEW YORK,RIGHT ANGLE,NEW YORK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:20,03/19/2014,Wednesday,Y,Daylight,MINEOLA,REAR END,NASSAU,Straight and Grade,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,23:38,10/22/2014,Wednesday,Y,Dark-Road Lighted,AMSTERDAM,OTHER,MONTGOMERY,Straight and Grade,Rain,Unknown,Wet,Not Applicable,"Building/Wall, Collision With Fixed Object",1
 Accident,15:00,07/04/2014,Friday,Y,Daylight,NEW YORK,REAR END,NEW YORK,Straight and Grade,Rain,Unknown,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,21:00,08/02/2014,Saturday,Y,Dark-Road Lighted,SYRACUSE,OVERTAKING,ONONDAGA,Straight and Grade,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,5:54,02/09/2014,Sunday,Y,Dark-Road Lighted,MAMARONECK,OTHER,WESTCHESTER,Curve and Level,Cloudy,None,Snow/Ice,Not Applicable,"Fence, Collision With Fixed Object",1
 Damage Accident,21:00,10/20/2014,Monday,N,Unknown,KINGS,Unknown,KINGS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,14:24,05/20/2014,Tuesday,Y,Daylight,NORTH HEMPSTEAD,REAR END,NASSAU,Straight and Grade,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,14:23,02/25/2014,Tuesday,N,Daylight,MOUNT KISCO,OTHER,WESTCHESTER,Straight and Level,Snow,Traffic Signal,Unknown,Riding/Walking/Skating Along Highway With Traffic,"Pedestrian, Collision With",1
 Damage Accident,22:30,02/04/2014,Tuesday,N,Unknown,TONAWANDA,Unknown,ERIE,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,10:24,10/11/2014,Saturday,Y,Daylight,ISLIP,OTHER,SUFFOLK,Straight and Level,Rain,None,Wet,Not Applicable,"Tree, Collision With Fixed Object",1
 Damage Accident,20:09,08/24/2014,Sunday,Y,Dark-Road Unlighted,FISHKILL,OTHER,DUTCHESS,Straight and Grade,Clear,None,Dry,Not Applicable,Deer,1
 Accident,22:16,07/10/2014,Thursday,Y,Dark-Road Lighted,NEW YORK,OTHER,NEW YORK,Straight and Level,Clear,None,Dry,Not in Roadway (Indicate),"Pedestrian, Collision With",1
 Damage & Injury Accident,13:25,12/05/2014,Friday,Y,Daylight,CHENANGO,REAR END,BROOME,Straight and Grade,Snow,Stop Sign,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,9:57,11/06/2014,Thursday,Y,Daylight,YONKERS,OTHER,WESTCHESTER,Straight and Level,Rain,None,Wet,Not Applicable,"Tree, Collision With Fixed Object",1
 Damage Accident,19:45,03/14/2014,Friday,Y,Dark-Road Lighted,WILLISTON PARK,LEFT TURN (0),NASSAU,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,19:45,12/28/2014,Sunday,Y,Dark-Road Unlighted,MANCHESTER,OTHER,ONTARIO,Straight and Level,Cloudy,None,Dry,Not Applicable,Deer,1
 Damage & Injury Accident,15:45,12/11/2014,Thursday,Y,Daylight,HENRIETTA,REAR END,MONROE,Straight and Level,Clear,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,8:09,04/03/2014,Thursday,Y,Daylight,BABYLON,OVERTAKING,SUFFOLK,Curve and Grade,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,1:09,11/25/2014,Tuesday,Y,Dark-Road Unlighted,ROCKLAND,OTHER,SULLIVAN,Curve and Grade,Cloudy,None,Wet,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Damage Accident,21:22,06/04/2014,Wednesday,Y,Dark-Road Lighted,TULLY,RIGHT ANGLE,ONONDAGA,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,15:20,10/22/2014,Wednesday,Y,Daylight,SOUTHEAST,OTHER,PUTNAM,Straight and Grade,Clear,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,0:00,07/10/2014,Thursday,N,Unknown,RICHMOND,OVERTAKING,RICHMOND,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,8:45,03/13/2014,Thursday,N,Unknown,DEWITT,OTHER,ONONDAGA,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Damage & Injury Accident,0:00,09/08/2014,Monday,N,Unknown,KINGS,OVERTAKING,KINGS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:35,08/15/2014,Friday,Y,Daylight,HUNTINGTON,REAR END,SUFFOLK,Straight and Grade,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,7:00,12/03/2014,Wednesday,Y,Dawn,BOONVILLE,OTHER,ONEIDA,Straight and Grade,Cloudy,No Passing Zone,Wet,Not Applicable,Deer,1
 Damage Accident,11:19,07/13/2014,Sunday,Y,Daylight,AMHERST,REAR END,ERIE,Straight and Level,Cloudy,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,13:23,11/24/2014,Monday,Y,Daylight,HEMPSTEAD,OTHER,NASSAU,Straight and Level,Cloudy,Traffic Signal,Dry,"Crossing, With Signal","Pedestrian, Collision With",1
 Damage & Injury Accident,18:00,05/31/2014,Saturday,N,Daylight,HEMPSTEAD,Unknown,NASSAU,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,15:14,12/11/2014,Thursday,Y,Daylight,CHEEKTOWAGA,OTHER,ERIE,Straight and Level,Snow,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",4
 Damage Accident,16:39,02/20/2014,Thursday,Y,Dusk,PERRY,OTHER,WYOMING,Curve and Grade,Sleet/Hail/Freezing Rain,None,Slush,Not Applicable,"Snow Embankment, Collision With Fixed Object",1
 Accident,13:15,05/10/2014,Saturday,Y,Daylight,NEWFANE,OTHER,NIAGARA,Straight and Level,Cloudy,None,Dry,Other Actions in Roadway,"Pedestrian, Collision With",1
 Damage Accident,1:04,02/01/2014,Saturday,Y,Dark-Road Lighted,ISLIP,REAR END,SUFFOLK,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:55,03/03/2014,Monday,Y,Daylight,ROTTERDAM,OTHER,SCHENECTADY,Straight at Hill Crest,Cloudy,None,Dry,Not Applicable,"Other Fixed Object*, Collision With Fixed Object",1
 Damage & Injury Accident,16:34,05/12/2014,Monday,Y,Daylight,BROOKHAVEN,OTHER,SUFFOLK,Curve and Level,Clear,Construction Work Area,Dry,Not Applicable,"Light Support/Utility Pole, Collision With Fixed Object",1
 Damage Accident,15:40,05/01/2014,Thursday,Y,Daylight,BRONX,OVERTAKING,BRONX,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:54,01/20/2014,Monday,Y,Daylight,WEBSTER,REAR END,MONROE,Straight and Level,Snow,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,16:16,01/09/2014,Thursday,Y,Daylight,MACEDON,LEFT TURN (0),WAYNE,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,2:40,08/30/2014,Saturday,Y,Dark-Road Lighted,SOUTHEAST,OTHER,PUTNAM,Straight and Level,Cloudy,None,Dry,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
 Accident,15:45,05/29/2014,Thursday,Y,Daylight,BRONX,LEFT TURN (3),BRONX,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:00,06/03/2014,Tuesday,N,Unknown,ITHACA,Unknown,TOMPKINS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,17:35,07/21/2014,Monday,Y,Daylight,CHEEKTOWAGA,OTHER,ERIE,Straight and Level,Clear,None,Dry,Not Applicable,"Other Object (Not Fixed)*, Collision With",2
 Damage Accident,15:00,12/26/2014,Friday,N,Daylight,HUNTINGTON,Unknown,SUFFOLK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:30,09/08/2014,Monday,N,Unknown,HINSDALE,OTHER,CATTARAUGUS,Unknown,Unknown,Unknown,Unknown,Not Applicable,Deer,1
 Damage Accident,22:35,08/13/2014,Wednesday,Y,Dark-Road Lighted,ISLIP,Unknown,SUFFOLK,Straight and Level,Cloudy,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,13:50,10/20/2014,Monday,Y,Daylight,CLAY,RIGHT TURN (5),ONONDAGA,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,20:25,08/09/2014,Saturday,Y,Dark-Road Lighted,ISLIP,LEFT TURN (3),SUFFOLK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:38,09/28/2014,Sunday,Y,Daylight,NORTH CASTLE,RIGHT ANGLE,WESTCHESTER,Straight and Level,Clear,Stop Sign,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,17:05,06/07/2014,Saturday,Y,Daylight,HEMPSTEAD,REAR END,NASSAU,Curve and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,1:30,08/16/2014,Saturday,Y,Dark-Road Lighted,SYRACUSE,OTHER,ONONDAGA,Curve and Level,Clear,None,Dry,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
 Accident,23:48,11/16/2014,Sunday,Y,Dark-Road Lighted,NEW YORK,OTHER,NEW YORK,Straight and Level,Rain,Traffic Signal,Wet,"Crossing, With Signal","Pedestrian, Collision With",1
 Accident,18:15,11/08/2014,Saturday,Y,Dark-Road Lighted,RICHMOND,OTHER,RICHMOND,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,15:30,02/05/2014,Wednesday,N,Daylight,SPRINGVILLE,Unknown,ERIE,Straight and Grade,Snow,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,15:19,01/18/2014,Saturday,Y,Daylight,OYSTER BAY,OVERTAKING,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,7:00,09/08/2014,Monday,Y,Daylight,QUEENS,OVERTAKING,QUEENS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,7:50,12/02/2014,Tuesday,Y,Daylight,HEMPSTEAD,LEFT TURN (3),NASSAU,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,8:10,02/14/2014,Friday,N,Daylight,QUEENS,OVERTAKING,QUEENS,Straight and Level,Clear,Flashing Light,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,15:39,11/17/2014,Monday,Y,Daylight,HEMPSTEAD,LEFT TURN (3),NASSAU,Straight and Level,Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,21:36,06/04/2014,Wednesday,Y,Dark-Road Lighted,CHEEKTOWAGA,LEFT TURN (0),ERIE,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,19:45,09/20/2014,Saturday,Y,Dark-Road Lighted,KINGS,OTHER,KINGS,Straight and Level,Clear,None,Dry,Emerging from in Front of/Behind Parked Vehicle,"Pedestrian, Collision With",1
 Accident,10:00,06/24/2014,Tuesday,Y,Daylight,CLAY,REAR END,ONONDAGA,Straight and Level,Cloudy,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,22:20,05/09/2014,Friday,Y,Dark-Road Unlighted,CHESTERFIELD,OTHER,ESSEX,Curve and Grade,Clear,No Passing Zone,Dry,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
 Damage Accident,17:30,01/03/2014,Friday,N,Unknown,CATO,OTHER,CAYUGA,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
 Damage Accident,13:30,01/07/2014,Tuesday,Y,Daylight,BATAVIA,REAR END,GENESEE,Straight and Level,Snow,None,Snow/Ice,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,20:10,01/25/2014,Saturday,Y,Daylight,QUEENS,REAR END,QUEENS,Straight and Level,Unknown,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,14:24,07/15/2014,Tuesday,Y,Daylight,MALTA,RIGHT ANGLE,SARATOGA,Straight and Level,Cloudy,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,20:30,12/23/2014,Tuesday,Y,Dark-Road Lighted,GREECE,OTHER,MONROE,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,8:00,07/20/2014,Sunday,Y,Daylight,RICHMOND,OVERTAKING,RICHMOND,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,17:00,08/29/2014,Friday,Y,Daylight,ISLIP,OTHER,SUFFOLK,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",4
 Damage Accident,10:35,05/25/2014,Sunday,Y,Daylight,STUYVESANT,RIGHT ANGLE,COLUMBIA,Straight and Level,Clear,Flashing Light,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,7:36,05/28/2014,Wednesday,Y,Daylight,ALBANY,REAR END,ALBANY,Straight and Grade,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:30,05/03/2014,Saturday,Y,Daylight,NISKAYUNA,RIGHT ANGLE,SCHENECTADY,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,11:30,06/24/2014,Tuesday,Y,Daylight,NEW YORK,OTHER,NEW YORK,Straight and Level,Clear,None,Dry,Other Actions in Roadway,"Pedestrian, Collision With",1
 Damage & Injury Accident,16:04,12/23/2014,Tuesday,Y,Dark-Road Lighted,BABYLON,Unknown,SUFFOLK,Straight and Level,Rain,Stop Sign,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,15:47,07/03/2014,Thursday,Y,Daylight,SALINA,OTHER,ONONDAGA,Straight and Level,Rain,None,Wet,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",3
 Damage & Injury Accident,9:42,08/07/2014,Thursday,Y,Daylight,COLONIE,HEAD ON,ALBANY,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,12:00,09/13/2014,Saturday,Y,Daylight,QUEENS,OTHER,QUEENS,Straight and Grade,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,18:40,11/16/2014,Sunday,Y,Dark-Road Lighted,HEMPSTEAD,OVERTAKING,NASSAU,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,16:10,04/15/2014,Tuesday,Y,Daylight,KINGS,RIGHT ANGLE,KINGS,Straight and Level,Rain,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,8:31,07/11/2014,Friday,Y,Unknown,QUEENS,Unknown,QUEENS,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,0:00,01/27/2014,Monday,N,Daylight,NORTH HEMPSTEAD,Unknown,NASSAU,Unknown,Clear,None,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,18:40,03/22/2014,Saturday,Y,Dusk,GREENPORT,RIGHT ANGLE,COLUMBIA,Curve and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,21:55,02/14/2014,Friday,Y,Dark-Road Lighted,BARRE,OTHER,ORLEANS,Straight at Hill Crest,Cloudy,None,Wet,Not Applicable,Deer,1
 Accident,12:53,05/15/2014,Thursday,Y,Daylight,KINGS,REAR END,KINGS,Straight and Level,Cloudy,Traffic Signal,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,20:46,05/15/2014,Thursday,Y,Dark-Road Lighted,CARMEL,REAR END,PUTNAM,Straight and Level,Cloudy,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,23:22,12/11/2014,Thursday,Y,Dark-Road Unlighted,CLERMONT,OTHER,COLUMBIA,Straight and Level,Cloudy,No Passing Zone,Dry,Not Applicable,Deer,1
 Damage Accident,17:43,08/21/2014,Thursday,Y,Daylight,OYSTER BAY,REAR END,NASSAU,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,18:31,12/01/2014,Monday,Y,Dark-Road Lighted,ROSLYN HARBOR,OTHER,NASSAU,Curve and Grade,Rain,None,Wet,Not Applicable,"Light Support/Utility Pole, Collision With Fixed Object",1
 Damage Accident,19:58,12/11/2014,Thursday,Y,Dark-Road Lighted,PORT CHESTER,RIGHT ANGLE,WESTCHESTER,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,9:20,04/01/2014,Tuesday,Y,Daylight,CARMEL,OTHER,PUTNAM,Straight and Level,Clear,No Passing Zone,Dry,Not Applicable,"Fire Hydrant, Collision With Fixed Object",1
 Damage Accident,18:35,10/31/2014,Friday,Y,Dark-Road Lighted,RIVERHEAD,OTHER,SUFFOLK,Straight and Level,Cloudy,None,Dry,Not Applicable,"Animal, Collision With",1
 Damage Accident,0:03,06/08/2014,Sunday,Y,Dark-Road Unlighted,CANTON,OTHER,ST. LAWRENCE,Straight and Level,Clear,No Passing Zone,Dry,Not Applicable,Deer,1
 Damage Accident,1:54,11/15/2014,Saturday,Y,Dark-Road Lighted,ROCHESTER,OVERTAKING,MONROE,Straight and Level,Sleet/Hail/Freezing Rain,None,Wet,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,12:58,02/27/2014,Thursday,Y,Daylight,ELMIRA,REAR END,CHEMUNG,Straight and Level,Cloudy,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,15:40,10/02/2014,Thursday,Y,Daylight,KINGS,REAR END,KINGS,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,8:00,02/03/2014,Monday,N,Unknown,RICHMOND,OTHER,RICHMOND,Unknown,Unknown,Unknown,Unknown,Not Applicable,"Other Motor Vehicle, Collision With",3
 Damage Accident,16:57,09/17/2014,Wednesday,Y,Daylight,BROOKHAVEN,REAR END,SUFFOLK,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage & Injury Accident,10:35,04/26/2014,Saturday,Y,Dark-Road Lighted,KINGS,RIGHT ANGLE,KINGS,Straight and Level,Clear,Traffic Signal,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Damage Accident,12:04,08/07/2014,Thursday,Y,Daylight,CANAJOHARIE,OVERTAKING,MONTGOMERY,Straight and Level,Clear,None,Dry,Not Applicable,"Other Motor Vehicle, Collision With",2
 Accident,14:25,09/07/2014,Sunday,Y,Daylight,CLARKSON,OTHER,MONROE,Straight and Grade,Unknown,Stop Sign,Dry,Not Applicable,"Tree, Collision With Fixed Object",1
 Damage Accident,7:00,03/20/2014,Thursday,Y,Daylight,ISLIP,OTHER,SUFFOLK,Curve and Level,Cloudy,Yield Sign,Wet,Not Applicable,"Other Motor Vehicle, Collision With",3
